class,smd,lower,upper,data_subset,n_studies,n_arms
Exercise individual + AD,-1.4359092344118256,-2.3366427425164766,-0.5351757263071746,CFB_plus_BF,283,616
Interpersonal psychotherapy (IPT) individual,-0.545491154875632,-1.1762644058522636,0.08528209610099935,CFB_plus_BF,283,616
Interpersonal psychotherapy (IPT) individual + AD,-0.8214615113435224,-1.557816382259645,-0.0851066404273999,CFB_plus_BF,283,616
Interpersonal psychotherapy (IPT) individual + placebo,-0.520389431243073,-1.3525382162121435,0.3117593537259975,CFB_plus_BF,283,616
Light therapy,-0.8872179593450853,-1.9060760613935135,0.1316401427033429,CFB_plus_BF,283,616
Light therapy + AD,-1.2400543984235028,-2.0444455650303937,-0.43566323181661204,CFB_plus_BF,283,616
Mindfulness or meditation group,-4.201113094602149,-5.9386337771300095,-2.4635924120742874,CFB_plus_BF,283,616
Mirtazapine,-0.7777939722050693,-1.0632507018299406,-0.492337242580198,CFB_plus_BF,283,616
Music therapy group,-0.7322380911758444,-2.1777466480509564,0.7132704656992677,CFB_plus_BF,283,616
No treatment,-0.07003596273575408,-0.5358358361401667,0.3957639106686586,CFB_plus_BF,283,616
Peer support group,-1.3470808024409675,-2.6343537193901687,-0.05980788549176608,CFB_plus_BF,283,616
Peer support group + AD,-1.4680195240515124,-2.7536612243710046,-0.18237782373202038,CFB_plus_BF,283,616
Placebo,0,0,0,CFB_plus_BF,283,616
Problem solving group,-2.7186248925113747,-3.9256798056205406,-1.5115699794022088,CFB_plus_BF,283,616
Problem solving individual,-0.8640602476370205,-1.5108726550084826,-0.21724784026555854,CFB_plus_BF,283,616
Psychoeducation group,-1.3055986673664686,-2.588105332771475,-0.023092001961462216,CFB_plus_BF,283,616
Psychoeducation group + AD,-0.4588935636835503,-1.6321645771068547,0.7143774497397541,CFB_plus_BF,283,616
Relaxation individual + AD,-0.7949542109663832,-1.9935683590468776,0.4036599371141112,CFB_plus_BF,283,616
Relaxation individual + placebo,-0.16248910438153885,-1.3442718678555843,1.0192936590925066,CFB_plus_BF,283,616
Self-help,-0.48142598808391623,-1.0569846671589809,0.0941326909911484,CFB_plus_BF,283,616
Self-help with support,-0.4990275589901034,-1.058904575028217,0.06084945704801015,CFB_plus_BF,283,616
Sham acupuncture,-0.5520238933002743,-1.4902060919031201,0.38615830530257145,CFB_plus_BF,283,616
Short-term psychodynamic psychotherapies individual,-0.6672182682464971,-1.324930739933992,-0.009505796559002189,CFB_plus_BF,283,616
