studyid,arm,treatment,classcode,class,n,mean_change,sd_change,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any
Andreoli 2002/Dubini 1997/Massana 1998_study 1,1,1,1,Placebo,128,-8.6,4.47,CFB,"Brazil, France, Ireland, Italy, Poland, and UK",8,42.2,60,HAMD,27.15,3.6,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Andreoli 2002/Dubini 1997/Massana 1998_study 1,2,42,27,SSRIs,127,-13.3,4.6,CFB,"Brazil, France, Ireland, Italy, Poland, and UK",8,42.2,60,HAMD,27.15,3.6,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Arean 1993,1,4,4,Waitlist,20,-0.3999999999999986,5.07444578254611,BF,US,12,66.4,77,HAMD,23.76,5.7,Unclear risk,Unclear risk,High risk,Low risk,High risk,Unclear risk,Unclear risk,1,1,2,0,2,1
Arean 1993,2,16,12,Problem solving group,19,-16.4,6.02245796996542,BF,US,12,66.4,77,HAMD,23.76,5.7,Unclear risk,Unclear risk,High risk,Low risk,High risk,Unclear risk,Unclear risk,1,1,2,0,2,1
Arean 2010,1,15,11,Problem solving individual,110,-11.270000000000001,7.148251534466313,BF,US,12,73,NA,HAMD,24.3,4.26,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,Low risk,0,1,2,0,0,1
Arean 2010,2,17,13,Counselling individual,111,-8.62,6.550572494064927,BF,US,12,73,NA,HAMD,24.3,4.26,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,Low risk,0,1,2,0,0,1
Ashouri 2013,1,53,30,Any AD,13,-8.749999999999996,5.6707230579530155,BF,Iran,NA,32.5,61,BDI-II,35.18,5.55,Unclear risk,Unclear risk,High risk,High risk,Low risk,Unclear risk,Unclear risk,1,1,2,2,0,1
Ashouri 2013,2,69,38,Cognitive and cognitive behavioural therapies individual + AD,10,-16.099999999999998,5.117069473829723,BF,Iran,NA,32.5,61,BDI-II,35.18,5.55,Unclear risk,Unclear risk,High risk,High risk,Low risk,Unclear risk,Unclear risk,1,1,2,2,0,1
Ashouri 2013,3,75,38,Cognitive and cognitive behavioural therapies individual + AD,10,-21,3.5328883367578996,BF,Iran,NA,32.5,61,BDI-II,35.18,5.55,Unclear risk,Unclear risk,High risk,High risk,Low risk,Unclear risk,Unclear risk,1,1,2,2,0,1
Badyal 2005,1,51,29,SNRIs,13,-16.93019218068212,2.5,BIN,India,6,42.9,35,HAMD,27.72,2.54,Low risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,High risk,0,1,2,1,1,1
Badyal 2005,2,52,29,SNRIs,13,-17.558672962613908,2.25,BIN,India,6,42.9,35,HAMD,27.72,2.54,Low risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,High risk,0,1,2,1,1,1
Bakish 1992b,1,1,1,Placebo,56,-10.216661369789971,3.56,BIN,Canada,6,43,43,HAMD,22.92,3.48,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Bakish 1992b,2,45,28,TCAs,59,-12.064806166068207,3.43,BIN,Canada,6,43,43,HAMD,22.92,3.48,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Baldwin 2006b,1,41,27,SSRIs,165,-76.36,5.908787379126166,BF,6 countries (no further detail reported),8,45,74,MADRS,29.65,4.15,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Baldwin 2006b,2,43,27,SSRIs,158,-77.71,5.852088657900742,BF,6 countries (no further detail reported),8,45,74,MADRS,29.65,4.15,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Baldwin 2012,1,1,1,Placebo,145,-14.8,9.63,CFB,"Australia, Bulgaria, Canada, the Czech Republic, Estonia, Finland, France, Hong Kong, India, the Republic of Korea, Latvia, Lithuania, Malaysia, the Philippines, Romania, Slovakia, Spain, Taiwan, Turkey & Ukraine",8,44.4,68,MADRS,31.55,4.25,Low risk,Low risk,Low risk,High risk,Low risk,Low risk,High risk,0,0,0,2,0,1
Baldwin 2012,2,51,29,SNRIs,149,-16.8,9.77,CFB,"Australia, Bulgaria, Canada, the Czech Republic, Estonia, Finland, France, Hong Kong, India, the Republic of Korea, Latvia, Lithuania, Malaysia, the Philippines, Romania, Slovakia, Spain, Taiwan, Turkey & Ukraine",8,44.4,68,MADRS,31.55,4.25,Low risk,Low risk,Low risk,High risk,Low risk,Low risk,High risk,0,0,0,2,0,1
Balestrieri 1971,1,45,28,TCAs,37,-12.989999999999998,9.291307765863749,BF,Italy,3,NA,NA,HAMD,24.18,6.72,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,High risk,Unclear risk,1,1,0,0,0,0
Balestrieri 1971,2,48,28,TCAs,37,-11.93,7.3193715577226985,BF,Italy,3,NA,NA,HAMD,24.18,6.72,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,High risk,Unclear risk,1,1,0,0,0,0
Basterzi 2009,1,42,27,SSRIs,22,-13.6,7.036334272900912,BF,Turkey,6,31.5,70,HAMD,26.09,4.21,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk,Low risk,1,1,1,1,0,0
Basterzi 2009,2,52,29,SNRIs,21,-15.3,7.066116330771806,BF,Turkey,6,31.5,70,HAMD,26.09,4.21,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk,Low risk,1,1,1,1,0,0
Baune 2018,1,1,1,Placebo,48,-8,8.38,CFB,"Estonia, Finland, Germany, & Lithuania",8,45.7,64,MADRS,31.54,3.34,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1
Baune 2018,2,43,27,SSRIs,52,-15.96,8.58,CFB,"Estonia, Finland, Germany, & Lithuania",8,45.7,64,MADRS,31.54,3.34,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1
Beach 1992,1,4,4,Waitlist,15,-7.859999999999999,9.251535007770332,BF,US,15,NA,100,BDI,28.3,6.2,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,2,1,1,1
Beach 1992,2,10,9,Cognitive and cognitive behavioural therapies individual,15,-17.4,7.366437402163952,BF,US,15,NA,100,BDI,28.3,6.2,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,2,1,1,1
Beasley 1991a,1,7,7,Trazodone,57,-13.9,7.7,CFB,US,6,40,67,HAMD,23.84,3.19,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Beasley 1991a,2,42,27,SSRIs,63,-12.2,7.2,CFB,US,6,40,67,HAMD,23.84,3.19,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Beasley 1993b,1,42,27,SSRIs,65,-12.9,9.9,CFB,US,5,44.8,70,HAMD,28.24,5.74,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1
Beasley 1993b,2,45,28,TCAs,71,-11.6,10.3,CFB,US,5,44.8,70,HAMD,28.24,5.74,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1
Benkert 1996,1,48,28,TCAs,82,-19.538495365278152,5.7,BIN,"Belgium, France, Germany, Italy, & Switzerland",6,47.4,68,MADRS,36.36,5.96,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Benkert 1996,2,52,29,SNRIs,85,-18.674344123355993,6.2,BIN,"Belgium, France, Germany, Italy, & Switzerland",6,47.4,68,MADRS,36.36,5.96,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Benkert 2000,1,6,6,Mirtazapine,139,-11.468089056553147,3.3,BIN,Germany,6,47.3,63,HAMD,22.400000000000002,3.24,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Benkert 2000,2,43,27,SSRIs,136,-11.082014295481342,3.2,BIN,Germany,6,47.3,63,HAMD,22.400000000000002,3.24,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Bersani 1994,1,44,27,SSRIs,31,-17,6.025777958073132,BF,Italy,8,47.1,63,HAMD,32.51,5.1,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Bersani 1994,2,45,28,TCAs,30,-16,5.56506963119061,BF,Italy,8,47.1,63,HAMD,32.51,5.1,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Bhargava 2012,1,44,27,SSRIs,30,-11.7,3.088219551780605,BF,India,12,36.2,52,HAMD,26.47,2.12,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Bhargava 2012,2,48,28,TCAs,30,-13.33,4.115191368575707,BF,India,12,36.2,52,HAMD,26.47,2.12,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Bielski 2004,1,41,27,SSRIs,97,-15.9,10.3,CFB,US,8,37.4,58,MADRS,30.35,4.81,High risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,2,1,0,0,0,1
Bielski 2004,2,52,29,SNRIs,98,-13.6,9.6,CFB,US,8,37.4,58,MADRS,30.35,4.81,High risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,2,1,0,0,0,1
Binnemann 2008,1,1,1,Placebo,31,-10.18,7.57,CFB,"US, Serbia and Montenegro, & the Russian Federation",6,49,39,HAMD,23.43,3.98,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1
Binnemann 2008,2,44,27,SSRIs,30,-13.42,7.61,CFB,"US, Serbia and Montenegro, & the Russian Federation",6,49,39,HAMD,23.43,3.98,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1
Bjerkenstedt 2005,1,1,1,Placebo,55,-9.7,7,CFB,Sweden,4,50.9,79,HAMD,24.51,4.07,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Bjerkenstedt 2005,2,42,27,SSRIs,54,-8.9,8,CFB,Sweden,4,50.9,79,HAMD,24.51,4.07,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0
Blackburn 1997,1,10,9,Cognitive and cognitive behavioural therapies individual,24,-9.5,6.274551776820397,BF,UK,16,39.3,64,HAMD,20.27,4.18,High risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,2,1,2,0,0,1
Blackburn 1997,2,53,30,Any AD,21,-9.200000000000001,6.609084656743323,BF,UK,16,39.3,64,HAMD,20.27,4.18,High risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,2,1,2,0,0,1
Blackburn 1997,3,53,30,Any AD,17,-8.3,5.467174773134658,BF,UK,16,39.3,64,HAMD,20.27,4.18,High risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,2,1,2,0,0,1
Blashki 1971,1,1,1,Placebo,18,-7.499999999999998,8.31384387633061,BF,Australia,4,36.7,100,HAMD,17.62,4.89,Unclear risk,Low risk,Low risk,Low risk,Unclear risk,Unclear risk,Unclear risk,1,0,0,0,1,0
Blashki 1971,2,45,28,TCAs,13,-11.1,5.302829433425141,BF,Australia,4,36.7,100,HAMD,17.62,4.89,Unclear risk,Low risk,Low risk,Low risk,Unclear risk,Unclear risk,Unclear risk,1,0,0,0,1,0
Blashki 1971,3,45,28,TCAs,14,-12.500000000000002,4.712748667179272,BF,Australia,4,36.7,100,HAMD,17.62,4.89,Unclear risk,Low risk,Low risk,Low risk,Unclear risk,Unclear risk,Unclear risk,1,0,0,0,1,0
Blom 2007,1,18,14,Interpersonal psychotherapy (IPT) individual,50,-9.899999999999999,9.792343948207701,BF,Netherlands,12,40,58,MADRS,29.66,5.99,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,High risk,1,1,1,1,1,0
Blom 2007,2,36,24,Interpersonal psychotherapy (IPT) individual + placebo,47,-11.100000000000001,10.653168542738822,BF,Netherlands,12,40,58,MADRS,29.66,5.99,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,High risk,1,1,1,1,1,0
Blom 2007,3,53,30,Any AD,47,-6.400000000000002,8.675828490697588,BF,Netherlands,12,40,58,MADRS,29.66,5.99,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,High risk,1,1,1,1,1,0
Blom 2007,4,78,40,Interpersonal psychotherapy (IPT) individual + AD,49,-12.8,9.439809320108113,BF,Netherlands,12,40,58,MADRS,29.66,5.99,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,High risk,1,1,1,1,1,0
Blumenthal 2007/Hoffman 2011,1,1,1,Placebo,49,-6.1,7.3,CFB,US,16,52,76,HAMD,17,5,Low risk,Low risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,0,2,0,1,1
Blumenthal 2007/Hoffman 2011,2,44,27,SSRIs,49,-6.1,6.7,CFB,US,16,52,76,HAMD,17,5,Low risk,Low risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,0,2,0,1,1
Blumenthal 2007/Hoffman 2011,3,62,33,Exercise individual,53,-7.1,6.9,CFB,US,16,52,76,HAMD,17,5,Low risk,Low risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,0,2,0,1,1
Blumenthal 2007/Hoffman 2011,4,63,34,Exercise group,51,-7.2,6.9,CFB,US,16,52,76,HAMD,17,5,Low risk,Low risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,0,2,0,1,1
Bose 2008,1,1,1,Placebo,134,-10.6,10.42,CFB,US,12,68.3,59,MADRS,28.89,3.88,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0
Bose 2008,2,41,27,SSRIs,129,-12.1,10.22,CFB,US,12,68.3,59,MADRS,28.89,3.88,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0
Boulenger 2006,1,41,27,SSRIs,228,-95.6,5.632946712496982,BF,"Denmark, France, Germany, Greece, Italy & The Netherlands",24,44.3,68,MADRS,35,3.75,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Boulenger 2006,2,43,27,SSRIs,223,-92.69999999999999,5.686539710966275,BF,"Denmark, France, Germany, Greece, Italy & The Netherlands",24,44.3,68,MADRS,35,3.75,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0
Boulenger 2014,1,1,1,Placebo,158,-11.7,9.55,CFB,"Belgium, Estonia, Finland, France, Germany, Latvia, Lithuania, Norway, Russia, Slovakia, South Africa, Sweden & Ukraine",8,46.9,70,MADRS,31.36,3.55,Low risk,Low risk,Low risk,High risk,Low risk,High risk,High risk,0,0,0,2,0,1
Boulenger 2014,2,51,29,SNRIs,146,-21.15,9.3,CFB,"Belgium, Estonia, Finland, France, Germany, Latvia, Lithuania, Norway, Russia, Slovakia, South Africa, Sweden & Ukraine",8,46.9,70,MADRS,31.36,3.55,Low risk,Low risk,Low risk,High risk,Low risk,High risk,High risk,0,0,0,2,0,1
Bowman 1995,1,4,4,Waitlist,10,-0.1999999999999993,7.196526940128829,BF,US,4,36.2,63,HAMD,19.9,5.18,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Bowman 1995,2,20,16,Self-help,10,-8.500000000000002,6.615889962809236,BF,US,4,36.2,63,HAMD,19.9,5.18,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Bowman 1995,3,20,16,Self-help,10,-9.6,4.20356991139674,BF,US,4,36.2,63,HAMD,19.9,5.18,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Boyer 1998,1,42,27,SSRIs,115,-17.9,6.967909305378377,BF,France,26,43.4,78,MADRS,28.65,5.65,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,0,1,1,0
Boyer 1998,2,44,27,SSRIs,116,-17.9,6.639971794448689,BF,France,26,43.4,78,MADRS,28.65,5.65,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,0,1,1,0
Brannan 2005,1,1,1,Placebo,136,-10.27,7.81,CFB,US,7,40.6,65,HAMD,22.9,3.48,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,2,1,0,1,1,1
Brannan 2005,2,51,29,SNRIs,132,-10.85,7.93,CFB,US,7,40.6,65,HAMD,22.9,3.48,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,2,1,0,1,1,1
Burke 2002,1,1,1,Placebo,119,-9.4,9.82,CFB,US,8,40.1,65,MADRS,28.91,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Burke 2002,2,40,27,SSRIs,125,-12,10.06,CFB,US,8,40.1,65,MADRS,28.91,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Burke 2002,3,41,27,SSRIs,118,-12.8,8.69,CFB,US,8,40.1,65,MADRS,28.91,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Burke 2002,4,41,27,SSRIs,123,-13.9,8.87,CFB,US,8,40.1,65,MADRS,28.91,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0
Carman 1991,1,1,1,Placebo,48,-7.5,7.76,CFB,US,6,NA,NA,HAMD,27.15,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Carman 1991,2,45,28,TCAs,48,-13.5,7.76,CFB,US,6,NA,NA,HAMD,27.15,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Chang 2015,1,42,27,SSRIs,58,-16.3,6.920260110718383,BF,Taiwan,6,39.7,73,HAMD,25.1,5.8,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,1,1,1,0
Chang 2015,2,52,29,SNRIs,54,-17.2,7.422263805605404,BF,Taiwan,6,39.7,73,HAMD,25.1,5.8,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,1,1,1,0
Chiu 1996,1,43,27,SSRIs,15,-20.2,9.1,CFB,Taiwan,6,45.7,63,HAMD,27.5,4.9,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Chiu 1996,2,48,28,TCAs,15,-15.3,8.4,CFB,Taiwan,6,45.7,63,HAMD,27.5,4.9,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0
Choi 2012,1,4,4,Waitlist,30,0.4400000000000013,7.723807351300264,BF,Australia,8,39,80,BDI,23.07,8.33,High risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Low risk,2,0,2,1,0,1
Choi 2012,2,25,17,Self-help with support,25,-12.280000000000001,8.928656113884106,BF,Australia,8,39,80,BDI,23.07,8.33,High risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Low risk,2,0,2,1,0,1
Choi 2014a/Choi 2014b,1,2,2,Attention placebo,36,-5.710000000000001,6.740059346919728,BF,US,12,65.2,78,HAMD,24.55,6.62,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
Choi 2014a/Choi 2014b,2,15,11,Problem solving individual,43,-9.86,6.151812740973184,BF,US,12,65.2,78,HAMD,24.55,6.62,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1
