studyid,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any,full_reference
Colonna 2005,BIN,"Austria, Belgium, Denmark, France, Germany, Norway, & Sweden",24,46,74,MADRS,29.86,4.52,Low risk,Low risk,Low risk,Low risk,Low risk,High risk,High risk,0,0,0,0,0,0,"Colonna, L., Andersen, H.F. & Reines, E.H. (2005) A randomised, double-blind, 24 -week study of escitalopram (10 mg/day), versus citalopram (20 mg/day) in primary care patients with major depressive disorder. Current Medical Research and Opinion, 21, 1659-1668."
Connolly Gibbons 2012,BF,US,12,40.8,90,HAMD,21.4,4.4,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,Unclear risk,Low risk,1,1,2,1,1,1,"Connolly Gibbons, M. B., et al. (2012) Supportive-expressive dynamic psychotherapy in the community mental health system: a pilot effectiveness trial for the treatment of depression. Psychotherapy (Chicago, Ill.) 49, 303-31"
Connolly Gibbons 2016,BF,US,22,36.2,75,HAMD,21.07,5.8,Low risk,Low risk,High risk,Low risk,Unclear risk,High risk,Unclear risk,0,0,2,0,1,1,"Gibbons MB, Gallop R, Thompson D, Luther D, Crits-Christoph K, Jacobs J, Yin S, Crits-Christoph P. Comparative effectiveness of cognitive therapy and dynamic psychotherapy for major depressive disorder in a community mental health setting: a randomized clinical noninferiority trial. JAMA psychiatry. 2016 Sep 1;73(9):904-11."
Cornelius 1997,CFB,US,12,34.8,49,HAMD,18.54,8.09,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Low risk,2,1,0,1,1,1,"Cornelius, J. R., Salloum, I. M., Ehler, J. G., Jarrett, P. J., Cornelius, M. D., Perel, J. M., ... & Black, A. (1997). Fluoxetine in depressed alcoholics: a double-blind, placebo-controlled trial. Archives of General Psychiatry, 54(8), 700-705."
Costa 1998,BF,"Argentina, Brazil, Chile, Colombia, Uruguay, & Venezuela",8,40.2,79,HAMD,30.06,5.78,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Costa e Silva. Randomized, double-blind comparison of venlafaxine and fluoxetine in outpatients with major depression. Journal of Clinical Psychiatry 1998;59(7):352-357."
Costa 2016,BF,UK,1,38.5,76,BDI-II,30,7.79,Unclear risk,Low risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,0,2,1,0,1,"Costa, A., & Barnhofer, T. (2016). Turning Towards or Turning Away: A Comparison of Mindfulness Meditation and Guided Imagery Relaxation in Patients with Acute Depression. Behavioural & Cognitive Psychotherapy, 44(4), 410-419. doi:https://dx.doi.org/10.1017/S1352465815000387"
Cutler 2009,BF,US,6,41.3,63,MADRS,30.35,4.76,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0,"Cutler AJ, Montgomery SA, Feifel D, Lazarus A, Astrom M, Brecher M. Extended release quetiapine fumarate monotherapy in major depressive disorder: a placebo- and duloxetine-controlled study. Journal of Clinical Psychiatry. 2009; 70(4):526–39."
De Ronchi 1998,BF,Italy,10,68.9,72,HAMD,26.06,5.76,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Unclear risk,High risk,1,1,0,0,0,0,"De Ronchi D, Rucci P, Lodi M, Ravaglia G, Forti P, Volterra V. Fluoxetine and amitriptyline in elderly depressed patients. A 10-week, double-blind study on course of neurocognitive adverse events and depressive symptoms. Archives Gerontology Geriatrics 1998;6 suppl:125-140."
DeJonghe 2001/Kool 2003,BF,Netherlands,24,NA,NA,HAMD,20.4,5.2,High risk,Unclear risk,High risk,Low risk,Unclear risk,Unclear risk,High risk,2,1,2,0,1,1,"De Jonghe FE, Kool S, Van Aalst G, Dekker J, Peen J. Combining psychotherapy and antidepressants in the treatment of depression. Journal of Affective disorders. 2001 May 31;64(2):217-29."
DeNayer 2002,CFB,Belgium,12,42.8,68,HAMD,23.05,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"De Nayer A, Geerts S, Ruelens L, Schittecatte M, De Bleeker E, Van E, I, Evrard JL, Linkowski P, Fossion P, Leyman S, Mignon A. Venlafaxine compared with fluoxetine in outpatients with depression and concomitant anxiety. International Journal of Neuropsychopharmacology 5(2):115-20, 2002."
DeWilde 1993,CFB,Belgium,6,44.4,62,HAMD,27.63,5.07,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"De Wilde, J., Spiers, R., Mertens, C., Bartholome, F., Schotte, G., & Leyman, S. (1993). A double‐blind, comparative, multicentre study comparing paroxetine with fluoxetine in depressed patients. Acta Psychiatrica Scandinavica, 87(2), 141-145."
Dekker 2005,BF,Netherlands,24,NA,64,HAMD,19.9,4.1,Low risk,Unclear risk,High risk,Low risk,Unclear risk,High risk,High risk,0,1,2,0,1,1,"Dekker J, Molenaar PJ, Kool S, Van Aalst G, Peen J, De Jonghe F. Dose–effect relations in time-limited combined psycho-pharmacological treatment for depression. Psychological medicine. 2005;35(01):47-58."
Demyttenaere 1998,BF,Belgium,9,41.7,55,HAMD,24.43,3.92,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1,"Demyttenaere K, Van Ganse E, Gregoire J, Gaens E, Mesters P. Compliance in depressed patients treated with fluoxetine or amitriptyline. International Clinical Psychopharmacology 1998;13:11-17."
Detke 2002a,BF,US,9,41,69,HAMD,20.4,3.38,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Detke, M. J., Lu, Y., Goldstein, D. J., McNamara, R. K., & Demitrack, M. A. (2002). Duloxetine 60 mg once daily dosing versus placebo in the acute treatment of major depression. Journal of Psychiatric Research, 36, 383-390."
Detke 2002b,BF,US,9,42.4,67,HAMD,21.28,3.92,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Detke, M. J., Lu, Y., Goldstein, D. J., Hayes, J. R., & Demitrack, M. A. (2002). Duloxetine, 60 mg once daily, for major depressive disorder: a randomized double-blind placebo-controlled trial. Journal of Clinical Psychiatry, 63, 308-315"
Detke 2004,CFB,US,8,43.4,73,HAMD,20.07,3.66,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Detke, M. J., Wiltse, C. G., Mallinckrodt, C. H., McNamara, R. K., Demitrack, M. A., & Bitter, I. (2004). Duloxetine in the acute and long-term treatment of major depressive disorder: a placebo- and paroxetine-controlled trial. European Neuropsychopharmacology, 14, 457-470."
