studyid,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any,full_reference
Hsu 2011,BF,China,6,40.7,60,MADRS,37.400000000000006,5.21,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,Low risk,1,1,0,1,0,0,"Hsu J-W, Su T-P, Huang C-Y, Chen Y-S, Chou Y-H. Faster onset of antidepressant effects of citalopram compared with sertraline in drug-naive first-episode major depressive disorder in a Chinese population: A 6-week double-blind, randomized comparative study. Journal of Clinical Psychopharmacology 2011;31(5):577-81."
Hunter 2011,BF,US,8,40.4,65,HAMD,22,4.09,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Hunter, A. M., Cook, I. A., Greenwald, S., Tran, M. L., Miyamoto, K. N., & Leuchter, A. F. (2011). The Antidepressant Treatment Response (ATR) index and treatment outcomes in a placebo-controlled trial of fluoxetine. Journal of clinical neurophysiology: official publication of the American Electroencephalographic Society, 28(5), 478."
Husain 2014,BIN,Pakistan,12,31.3,100,HAMD,20.5,3.94,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk,0,0,2,0,0,1,"Husain N, Chaudhry N, Fatima B, Husain M, Amin R, Chaudhry IB, Rahman RU, Tomenson B, Jafri F, Naeem F, Creed F. Antidepressant and group psychosocial treatment for depression: a rater blind exploratory RCT from a low income country. Behavioural and cognitive psychotherapy. 2014 Nov;42(6):693-705."
Hwang 2004,BIN,Taiwan,4,65.1,58,HAMD,27.1,5.83,Unclear risk,Unclear risk,High risk,High risk,Low risk,High risk,Low risk,1,1,2,2,0,1,"Hwang J-P, Yang C-H, Tsai S-J (2004) Comparison study of venlafaxine and paroxetine for the treatment of depression in elderly Chinese inpatients. Int J Geriatr Psychiatry 19:189–190"
Jacobson 1996,BF,US,NA,38,75,BDI,29.44,6.58,High risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,2,1,2,1,0,1,"Jacobson, N.S., Dobson, K.S., Truax, P.A., et al. (1996) A component analysis of cognitive-behavioural treatment for depression. Journal of Consulting and Clinical Psychology, 64 (2), 295-304."
Jamison 1995,BF,US,4,38,84,HAMD,19.8,4.16,High risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,2,1,2,1,0,1,"Jamison C. The outcome of cognitive bibliotherapy with depressed adults. Journal of Consulting & Clinical Psychology 63(4):644-50, 1995."
Janakiramaiah 2000,BF,India,4,39.7,37,HAMD,23.9,6.13,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,"Janakiramaiah, N., Gangadhar, B. N., Murthy, P. N. V., Harish, M. G., Subbakrishna, D. K., & Vedamurthachar, A. (2000). Antidepressant efficacy of Sudarshan Kriya Yoga (SKY) in melancholia: a randomized comparison with electroconvulsive therapy (ECT) and imipramine. Journal of affective disorders, 57(1-3), 255-259."
Jefferson 2000,CFB,US,6,39.9,NA,MADRS,31.38,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,"Jefferson J, Griest J. A double-blind, placebo controlled, fixed-dosage study comparing the efficacy and tolerability of paroxetine CR and citalopram to placebo in the treatment of Major Depressive Disorder with anxiety. American College of Neuropsychopharmacology, 39th Annual Meeting 12/11/2000 San Juan, Puerto Rico."
Jeong 2015,BF,Korea,6,48.1,71,MADRS,30.8,5.8,Low risk,Unclear risk,High risk,Low risk,Unclear risk,High risk,High risk,0,1,2,0,1,1,"Jeong, J. H., et al. (2015). ""Efficacy and safety of generic escitalopram (Lexacure) in patients with major depressive disorder: A 6-week multicenter, randomized, rater-blinded, escitalopram-comparative, non-inferiority study."" Neuropsychiatric disease and treatment 11: 2557-2564."
Jiahui 2006,BF,China,4,NA,NA,HAMD,35.72,11.3,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,"Jiahui, Z. H. A. O., & Peng, S. A. N. G. (2006). Clinical observation on acupuncture treatment of depressive neurosis in 30 cases. Journal of traditional Chinese medicine= Chung i tsa chih ying wen pan, 26(3), 191."
Jordan 2014,BIN,New Zealand,12,36,48,MADRS,23.61,7.44,Low risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Low risk,0,0,2,1,0,1,"Jordan J, Carter JD, McIntosh VV, Fernando K, Frampton CM, Porter RJ, et al. Metacognitive therapy versus cognitive behavioural therapy for depression: a randomized pilot study. The Australian and New Zealand journal of psychiatry. 2014;48(10):932-43."
Judd 2001,BF,Australia,12,37.5,77,BDI,32.95,9.08,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Judd, F. K., Piterman, L., Cockram, A. M., McCall, L. & Weissman, M. M. (2001). A comparative study of venlafaxine with a focused education and psychotherapy program versus venlafaxine alone in the treatment of depression in general practice. Human Psychopharmacol ogy 16, 423-428."
Kampman 1978,BF,Finland,9,45,64,HAMD,26.44,5.74,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,1,1,0,1,1,0,"Kampman R, Nummikko-Pelkonen A, Kuha S. Tricyclic antidepressants in the treatment of depression. Acta Psychiatrica Scandinavica 1978;58:142-148."
Kang 2009,CFB,Korea,8,46.8,77,HAMD,25.96,4.96,Low risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,High risk,0,1,2,1,0,1,"Kang, E. H., et al. (2009) Mirtazapine versus venlafaxine for the treatment of somatic symptoms associated with major depressive disorder: a randomized, open-labeled trial. Psychiatry Research 169, 118-123 DOI: 10.1016/j.psychres.2008.06.021"
Kanter 2015,BF,US,12,38.1,79,HAMD,20.93,4.5,Low risk,Unclear risk,High risk,Low risk,High risk,High risk,Low risk,0,1,2,0,2,1,"Kanter JW, Santiago-Rivera AL, Santos MM, Nagy G, López M, Hurtado GD, West P. A randomized hybrid efficacy and effectiveness trial of behavioral activation for Latinos with depression. Behavior therapy. 2015 Mar 31;46(2):177-92."
Kasper 2005a,BIN,"Belgium, Czech Republic, France, Greece, Hungary, Italy, Netherlands, Slovakia, Spain, Sweden, UK",8,75,76,MADRS,28.6,4.2,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Kasper, S., Swart, H. & Andersen, H.F. (2005) Escitalopram in the treatment of depressed elderly patients. American Journal of Geriatric Psychiatry, 13, 884-891."
Kasper 2005b,CFB,"Austria, Czech Republic, Hungary, Poland & Slovak Republic",6,43.9,63,HAMD,20.95,1.54,High risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,2,1,0,1,0,1,"Kasper S, Olivieri L, Di loreto G, Dionisio P. A comparative, randomised, double-blind study of trazodone prolonged-release and paroxetine in the treatment of patients with major depressive disorder. Current Medical Research and Opinion 2005;21(8):1139-46."
Kasper 2012,CFB,Russia & Austria,8,41.9,71,MADRS,35.16,4.27,Low risk,Low risk,Low risk,High risk,Unclear risk,Low risk,High risk,0,0,0,2,1,1,"Kasper S, Ebert B, Larsen K, Tonnoir B. Combining escitalopram with gaboxadol provides no additional benefit in the treatment of patients with severe major depressive disorder. Int J Neuropsychopharmacol. 2012 Jul;15(6):715-25."
Katona 2012,CFB,"Canada, Finland, France, Germany, Sweden, Ukraine & US",8,70.6,64,HAMD,28.95,5.01,Low risk,Low risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,0,0,0,1,0,0,"Katona, C., et al. (2012) A randomized, double-blind, placebo-controlled, duloxetine-referenced, fixed-dose study comparing the efficacy and safety of Lu AA21004 in elderly patients with major depressive disorder. International clinical psychopharmacology 27, 215-223 DOI: 10.1097/YIC.0b013e3283542457"
Katz 1990,BF,US,7,84.1,93,HAMD,22.66,3.44,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1,"Katz, I. R., Simpson, G. M., Curlik, S. M., et al. (1990). Pharmacologic treatment of major depression for elderly patients in residential care settings. Journal of Clinical Psychiatry, 51 (Suppl.), 41-47."
Katz 1993_Protocol 01,CFB,Switzerland,4,43.6,49,HAMD,22.86,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Katz RJ, Lott M, Landau P, Waldmeier P. A clinical test of noradrenergic involvement in the therapeutic mode of action of an experimental antidepressant. Biological Psychiatry 1993;33:261–6."
Katz 1993_Protocol 03,CFB,Switzerland,4,43.6,57,HAMD,24.4,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Katz RJ, Lott M, Landau P, Waldmeier P. A clinical test of noradrenergic involvement in the therapeutic mode of action of an experimental antidepressant. Biological Psychiatry 1993;33:261–6."
Kay-Lambkin 2009,BF,Australia,15,35.4,54,BDI-II,31.93,9.55,Low risk,Low risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,0,0,2,1,1,1,"Kay‐Lambkin FJ, Baker AL, Lewin TJ, Carr VJ. Computer‐based psychological treatment for comorbid depression and problematic alcohol and/or cannabis use: a randomized controlled trial of clinical efficacy. Addiction. 2009 Mar 1;104(3):378-88."
Kay-Lambkin 2011/2017,BF,Australia,12,40,43,BDI-II,31.73,9.18,Unclear risk,Unclear risk,High risk,Low risk,Unclear risk,High risk,Low risk,1,1,2,0,1,1,"Kay‐Lambkin, F. J., Baker, A. L., Kelly, B., & Lewin, T. J. (2011). Clinician‐assisted computerised versus therapist‐delivered treatment for depressive and addictive disorders: a randomised controlled trial. Medical Journal of Australia, 195, S44-S50."
Keller 2006_Study 062,CFB,Cross-continental,8,41,67,HAMD,28.3,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,"Keller M, Montgomery S, Ball W, Morrison M, Snavely D, Liu G, Hargreaves R, Hietala J, Lines C, Beebe K, Reines S. Lack of efficacy of the substance p (neurokinin1 receptor) antagonist aprepitant in the treatment of major depressive disorder. Biol Psychiatry. 2006 Feb 1;59(3):216-23."
Kennedy 2005,CFB,US,8,37.1,NA,HAMD,26.2,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,"Kennedy SH, Anderson HF, Lam RW. A pooled analysis of selective serotonin reuptake inhibitors and venlafaxine. Poster presented at the American Psychiatric Association, May 2005."
Kennedy 2007,BF,Canada,16,35.6,63,HAMD,21.900000000000002,7.07,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,2,1,1,1,"Kennedy, S. H., Konarski, J. Z., Segal, Z. V., Lau, M. A., Bieling, P. J., McIntyre, R. S. & Mayberg, H. S. (2007). Differences in brain glucose metabolism between responders to CBT and venlafaxine in a 16-week randomized controlled trial. Am J Psychiatry 164, 778-88."
Khan 1991,BF,US,6,40.6,56,HAMD,25.56,3.38,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Khan A, Fabre LF, Rudolph R. Venlafaxine in depressed outpatients. Psychopharmacol Bull. 1991;27(2):141-144"
Khan 1995,CFB,UK,5,41.8,67,HAMD,22.25,3.45,High risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,2,1,0,1,0,1,"Khan, M. C. (1995). A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, 5-WEEKS STUDY OF ORG-3770 (MIRTAZAPINE) IN MAJOR DEPRESSION. Human Psychopharmacology-Clinical and Experimental, 10, S119-S124."
Khan 2007,CFB,US,8,42.4,61,MADRS,31.3,3.84,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0,"Khan, A., Bose, A., Alexopoulos, G. S., Gommoll, C., Li, D., Gandhi, C. (2007) Double-blind comparison of escitalopram and duloxetine in the acute treatment of major depressive disorder. Clinical Drug Investigation, 27, 481-492."
Kheirabadi 2020,BF,Iran,NA,NA,89,BDI-II,40.800000000000004,17.43,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,2,1,1,1,"Kheirabadi, G. R., Yousefian, Z., Zargar, F., Bahrami, M., & Maracy, M. R. (2020). Citalopram and metacognitive therapy for depressive symptoms and cognitive emotion regulation in patients with major depressive disorder: A randomized controlled trial. Journal of Education and Health Promotion, 9."
Khoshnab 2017,CFB,Iran,8,51.2,100,BDI,29.31,5.4,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,2,1,1,1,"Khoshnab, L. P., & Nikseresht, A. (2017). Comparison of the effect of aerobic exercise and antidepressant medications on depression and sexual desire of depressed middle-Aged Women. International Journal of Women's Health and Reproduction Sciences, 5(2), 119-122. doi:http://dx.doi.org/10.15296/ijwhr.2017.22"
Kim 2011,BIN,Korea,8,43.2,72,HAMD,22.95,2.88,Unclear risk,Unclear risk,High risk,Low risk,Low risk,High risk,High risk,1,1,2,0,0,1,"Kim, J. E., et al. (2011) Efficacy and tolerability of mirtazapine in treating major depressive disorder with anxiety symptoms: an 8-week open-label randomised paroxetine-controlled trial. International journal of clinical practice 65, 323-329 DOI: 10.1111/j.1742-1241.2010.02624.x"
Kinoshita 2009,CFB,Japan,6,39.7,NA,HAMD,22.57,NA,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,1,1,0,0,0,0,"Kinoshita T. A double-blind, placebo controlled study of a new antidepressant, mirtazapine, in depressed patients. Jpn J Clin Psychopharmacol 2009;12:289-306."
Komulainen 2018,BF,Finland,1,NA,44,MADRS,23.23,4.1,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,2,1,0,1,1,1,"Komulainen, E., Heikkila, R., Nummenmaa, L., Raij, T. T., Harmer, C. J., Isometsa, E., & Ekelund, J. (2018). Short-term escitalopram treatment normalizes aberrant self-referential processing in major depressive disorder. Journal of Affective Disorders, 236, 222-229. doi:http://dx.doi.org/10.1016/j.jad.2018.04.096"
Kramer 2014,BF,Netherlands,9,19.5,79,CES-D,39.6,7.9,Low risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Unclear risk,0,0,2,1,0,1,"Kramer J, Conijn B, Oijevaar P, Riper H. Effectiveness of a web-based solution-focused brief chat treatment for depressed adolescents and young adults: randomized controlled trial. Journal of medical internet research. 2014 May;16(5)"
Kranzler 2006_Group A,CFB,US,10,42.9,35,HAMD,20.62,3.49,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,2,1,0,1,1,1,"Kranzler, H. R., Mueller, T., Cornelius, J., Pettinati, H. M., Moak, D., Martin, P. R., ... & Hasin, D. (2006). Sertraline treatment of co-occurring alcohol dependence and major depression. Journal of clinical psychopharmacology, 26(1), 13-20."
Krejtz 2018,BF,Poland,2,35.1,67,CES-D,38.47,7.4,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,Low risk,0,1,1,1,1,0,"Krejtz, I., Holas, P., Rusanowska, M., & Nezlek, J. B. (2018). Positive online attentional training as a means of modifying attentional and interpretational biases among the clinically depressed: An experimental study using eye tracking. J Clin Psychol, 74(9), 1594-1606"
Krogh 2012,BF,Denmark,12,41.6,67,HAMD,18.89,4.35,High risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk,2,0,2,0,0,1,"Krogh J, Videbech P, Thomsen C, Gluud C, Nordentoft M. DEMO-II trial. Aerobic exercise versus stretching exercise in patients with major depression—a randomised clinical trial. PloS one. 2012 Oct 31;7(10):e48316."
Lam 2013,CFB,Canada,12,43.3,55,MADRS,27.63,5,Low risk,Low risk,High risk,Low risk,Low risk,High risk,High risk,0,0,2,0,0,1,"Lam RW, Parikh SV, Ramasubbu R, Michalak EE, Tam EM, Axler A, Yatham LN, Kennedy SH, Manjunath CV. Effects of combined pharmacotherapy and psychotherapy for improving work functioning in major depressive disorder. The British Journal of Psychiatry. 2013 Nov 1;203(5):358-65."
Lam 2016,CFB,Canada,8,36.8,62,MADRS,26.6,4.8,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk,Unclear risk,0,0,1,0,0,0,"Lam RW, Levitt AJ, Levitan RD, Michalak EE, Cheung AH, Morehouse R, Ramasubbu R, Yatham LN, Tam EM. Efficacy of bright light treatment, fluoxetine, and the combination in patients with nonseasonal major depressive disorder: a randomized clinical trial. JAMA psychiatry. 2016 Jan 1;73(1):56-63."
Lee 2007,BF,"China, Korea, Taiwan & Brazil",8,38.5,70,HAMD,21.15,4.08,High risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,2,1,0,1,0,1,"Lee, P., Shu, L., Xu, X., Wang, C. Y., Lee, M. S., Liu, C. Y. et al. (2007). Once-daily duloxetine 60 mg in the treatment of major depressive disorder: multicenter, double-blind, randomized, paroxetine-controlled, non-inferiority trial in China, Korea, Taiwan and Brazil. Psychiatry & Clinical Neurosciences, 61, 295-307."
Legrand 2016,CFB,France,1.4,45.3,71,BDI-II,36.52,6.8,Low risk,Unclear risk,High risk,Unclear risk,Low risk,Low risk,Low risk,0,1,2,1,0,1,"Legrand, F. D., & Neff, E. M. (2016). Efficacy of exercise as an adjunct treatment for clinically depressed inpatients during the initial stages of antidepressant pharmacotherapy: An open randomized controlled trial. Journal of Affective Disorders, 191, 139-144. doi:http://dx.doi.org/10.1016/j.jad.2015.11.047"
Leinonen 1999,BF,"Denmark, Finland, Norway & Sweden",8,41.6,62,MADRS,29.35,4.7,High risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,2,0,0,1,0,1,"Leinonen E, Skarstein J, Behnke K, Agren H, Helsdingen JT, Ahokas A, Koponen H, Mehtonen O-P, Lepola U, Kinnunen I, Berle JO, Torvanger MS, Djerv L, Banach G, Drolsum B, Linderoth L, Melle KH, Hamnes A, Nissen-Meyer JR, Ketner M, Stordal E, Eide D, Kristiansen OS, Bahr B, Nielsen BM, Sogaard J, Borup A, Blomberg S, Haggstrom L, Staroscinski M, Hetta J, Portala K, Marteinsdottir I, Klingert M, Jacobson N-O, Arnell G, Sinner B, Swedborg A-C, Norberg B. Efficacy and tolerability of mirtazapine versus citalopram: A double-blind, randomized study in patients with major depressive disorder. International Clinical Psychopharmacology 1999;14(6):329-337."
Levin 2013,BF,US,12,35.1,26,HAMD,16.8,3.87,Low risk,Low risk,Low risk,Low risk,Low risk,High risk,High risk,0,0,0,0,0,0,"Levin, F. R., Mariani, J., Brooks, D. J., Pavlicova, M., Nunes, E. V., Agosti, V., . . . Carpenter, K. M. (2013). A randomized double-blind, placebo-controlled trial of venlafaxine-extended release for co-occurring cannabis dependence and depressive disorders. Addiction (Abingdon, England), 108(6), 1084-1094."
Li 2006,CFB,China,6,35.5,54,HAMD,23.75,NA,Low risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,0,1,0,1,1,0,"Li,J., Shen, W.W., Liu,Y., Xu, L., Liu, S.M., Kuang, W.H. (2006) The effectiveness and safety of escitalopram in the treatment of major depression: A randomized double-blind active-drug controlled trial. Chinese Journal of Evidence-Based Medicine, 6, 552-556."
Lindegaard 2019,BF,Sweden,8,33.9,46,PHQ-9,18.3,4.99,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,1,1,2,1,0,1,"Lindegaard, T., Brohede, D., Koshnaw, K., Osman, S. S., Johansson, R., & Andersson, G. (2019). Internet‐based treatment of depressive symptoms in a Kurdish population: A randomized controlled trial. Journal of clinical psychology, 75(6), 985-998."
Loo 2002,BF,"Belgium, France & UK",8,NA,NA,HAMD,27.35,3.25,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Lôo H, Hale A, D'haenen H. Determination of the dose of agomelatine, a melatoninergic agonist and selective 5-HT(2C) antagonist, in the treatment of major depressive disorder: a placebo-controlled dose range study. Int Clin Psychopharmacol. 2002 Sep;17(5):239-47."
Luo 1985,BF,China,5,37.3,55,HAMD,28.88,6.13,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,"Luo HC, Yunkui J, Zhan L. Electro-acupuncture versus amitriptyline in the treatment of depressive states. Journal of Traditional Chinese Medicine 1985;5(1):3–8."
M/2020/0046 (Study 046),CFB,US,8,39.4,69,HAMD,22.9,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,https://www.iqwig.de/de/projekte-ergebnisse/studieninformationen-zu-reboxetin.3304.html
M/2020/0046 (Study 047),CFB,US,8,38.5,77,HAMD,23.8,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,https://www.iqwig.de/de/projekte-ergebnisse/studieninformationen-zu-reboxetin.3304.html
MDF/29060/III/070/88/MC,CFB,Europe,5,73,NA,MADRS,30.03,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Low risk,High risk,1,1,0,1,1,0,https://www.gsk-clinicalstudyregister.com/study/29060/070#rs
MIR 003-003 (FDA),CFB,US,6,43,57,HAMD,25.45,NA,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,Low risk,High risk,1,1,1,1,0,0,http://digitalcommons.ohsu.edu/fdadrug/20/
MIR 003-020 (FDA),CFB,US,6,44,51,HAMD,28.83,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,http://digitalcommons.ohsu.edu/fdadrug/20/
MIR 003-021 (FDA),CFB,US,6,45.7,55,HAMD,24.61,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,http://digitalcommons.ohsu.edu/fdadrug/20/
MY-1042/BRL-029060/CPMS-251,CFB,US,8,41.9,NA,HAMD,24.41,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,http://www.gsk-clinicalstudyregister.com/study/29060/251?search=compound&compound=paroxetine#rs
MY-1045/BRL-029060/1 (PAR 128),CFB,US,12,41.8,NA,HAMD,25.62,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,http://www.gsk-clinicalstudyregister.com/study/29060/128#rs
Macias-Cortes 2015,BF,Mexico,6,49,100,HAMD,20.65,2.98,Low risk,Low risk,Low risk,Low risk,Low risk,High risk,Low risk,0,0,0,0,0,0,"Macías-Cortés EdC, Llanes-González L, Aguilar-Faisal L, Asbun-Bojalil J. Individualized homeopathic treatment and fluoxetine for moderate to severe depression in peri-and postmenopausal women (HOMDEP-MENOP study): a randomized, double-dummy, double-blind, placebo-controlled trial. PloS one. 2015 Mar 13;10(3):e0118440."
Mahableshwarkar 2013,CFB,US,8,42.7,60,HAMD,29.1,5.63,Unclear risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,0,0,1,0,0,"Mahableshwarkar, A. R., Jacobsen, P. L., & Chen, Y. (2013). A randomized, double-blind trial of 2.5 mg and 5 mg vortioxetine (Lu AA21004) versus placebo for 8 weeks in adults with major depressive disorder. Current medical research and opinion, 29(3), 217-226."
Mahableshwarkar 2015a,BIN,US,8,42.9,75,MADRS,32.23,4.33,Low risk,Low risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,0,0,0,1,1,0,"Mahableshwarkar, A. R., Jacobsen, P. L., Chen, Y., Serenko, M., & Trivedi, M. H. (2015). A randomized, double-blind, duloxetine-referenced study comparing efficacy and tolerability of 2 fixed doses of vortioxetine in the acute treatment of adults with MDD. Psychopharmacology, 232(12), 2061-2070."
Maina 2007,BF,Italy,26,35.9,66,HAMD,20.2,2.72,Low risk,Unclear risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,1,2,0,1,1,"Maina G, Rosso G, Crespi C, Bogetto F. Combined brief dynamic therapy and pharmacotherapy in the treatment of major depressive disorder: a pilot study. Psychotherapy and psychosomatics. 2007 Aug 16;76(5):298-305."
Mao 2008,CFB,China,8,38.9,56,MADRS,30.64,5.27,High risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,2,1,0,1,0,1,"Mao, P.X., T., Y.L., Jiang, F., Shu, L., Gu, X., Li, M., Qian, M., Ma, C., Mitchell, P.B. & Cai, Z.J. (2008) Esciatlopram in major depressive disorder: a multicentre, randomized, double-blind, fixeddose, parallel trial in a chinese population. Depression and Anxiety, 25, 46-54"
Marchesi 1998,BF,Italy,10,43.6,74,HAMD,25.39,5.45,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Marchesi C, Ceccherininelli A, Rossi A, Maggini C. Is anxious-agitated major depression responsive to fluoxetine? A double-blind comparison with amitriptyline. Pharmacopsychiatry 1998;31:216-221."
Markkula 2019,BF,Nepal,4,31.5,91,BDI,23.44,8.86,Unclear risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Low risk,1,0,2,1,0,1,"Markkula, N., Lehti, V., Adhikari, P., Peña, S., Heliste, J., Mikkonen, E., ... & Guragain, B. (2019). Effectiveness of non-medical health worker-led counselling on psychological distress: a randomized controlled trial in rural Nepal. Global Mental Health, 6."
Marshall 2008,BF,Canada,16,NA,69,HAMD,18.27,3.73,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,Unclear risk,Low risk,1,1,2,1,1,1,"Marshall, M.B., Zuroff, D.C., McBride, C., & Bagby, R.M. (2008) Self-criticism predicts differential response to treatment for major depression. Journal of Clinical Psychology, 64 (3), 231-244."
Mathews 2015,CFB,US,10,42.3,57,MADRS,31.3,3.35,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,1,1,0,0,0,0,"Mathews M, Gommoll C, Chen D, Nunez R, Khan A. Efficacy and safety of vilazodone 20 and 40 mg in major depressive disorder: a randomized, double-blind, placebo-controlled trial. Int Clin Psychopharmacol. 2015;30(2):67-74."
Matreja 2007,BF,India,6,40.1,55,MADRS,29.65,5.58,Low risk,Unclear risk,High risk,High risk,Unclear risk,Unclear risk,Unclear risk,0,1,2,2,1,1,"Matreja, P. S., Badyal, D. K., Khosla, P., & Deswal, R. S. (2007). Effectiveness and acceptability of sertraline and citalopram in major depressive disorder: pragmatic randomized open‐label comparison. Human Psychopharmacology: Clinical and Experimental, 22(7), 477-482."
McCallum 1975,BF,US,3,41.5,83,HAMD,22.599999999999998,5.29,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1,"McCallum P, Meares R. A controlled trial of maprotiline (Ludiomil) in depressed outpatients. Medical Journal Australia 1975;2:392-394."
McKnight 1992,BF,US,8,37.5,100,BDI,29.97,5.53,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"McKnight, D. L., Nelson-Gray, R. O. & Barnhill, J. (1992). Dexamethasone suppression test and response to cognitive therapy and antidepressant medication. Behavior Therapy 23, 99-111."
McNamara 1986,BF,US,10,NA,NA,BDI,24.27,4.69,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,"McNamara K, Horan JJ. Experimental construct validity in the evaluation of cognitive and behavioral treatments for depression. Journal of Counseling Psychology. 1986 Jan;33(1):23."
